Product ID;Product Name;Category;Product Type;Channel;Season;Size;Stock Units;Demand Units;Price;Cost;Profit Margin
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2018;L;12;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2018;M;9;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2018;S;15;15;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2018;XL;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2018;XS;33;33;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2018;XXS;9;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2019;L;6;6;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2019;M;12;12;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2019;S;27;24;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2019;XL;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2019;XS;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2019;XXS;10;10;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2020;L;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2020;M;16;14;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2020;S;31;31;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2020;XL;11;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2020;XS;8;8;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2020;XXS;10;10;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2021;L;5;5;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2021;M;17;17;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2021;S;38;28;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2021;XL;8;8;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2021;XS;9;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2021;XXS;22;18;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2022;L;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2022;M;14;14;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2022;S;25;25;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2022;XL;3;3;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2022;XS;20;20;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2022;XXS;20;13;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2023;L;10;10;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2023;M;5;5;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2023;S;41;33;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2023;XL;7;5;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2023;XS;41;32;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2023;XXS;39;20;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2024;L;4;4;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2024;M;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2024;S;20;20;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2024;XL;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2024;XS;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2024;XXS;19;19;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2025;L;5;5;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2025;M;21;21;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2025;S;41;38;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2025;XL;9;8;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2025;XS;44;42;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Amsterdam;2025;XXS;21;19;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2018;L;4;4;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2018;M;14;14;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2018;S;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2018;XL;13;8;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2018;XS;23;22;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2018;XXS;13;10;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2019;L;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2019;M;28;23;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2019;S;23;23;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2019;XL;10;5;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2019;XS;9;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2019;XXS;18;16;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2020;L;16;12;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2020;M;28;12;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2020;S;31;31;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2020;XL;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2020;XS;18;18;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2020;XXS;37;13;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2021;L;17;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2021;M;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2021;S;22;22;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2021;XL;4;4;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2021;XS;66;47;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2021;XXS;9;9;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2022;L;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2022;M;28;27;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2022;S;13;13;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2022;XL;2;2;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2022;XS;30;30;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2022;XXS;18;18;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2023;L;12;12;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2023;M;19;19;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2023;S;22;22;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2023;XL;1;1;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2023;XS;44;27;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2023;XXS;5;5;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2024;L;7;7;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2024;M;11;11;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2024;S;30;30;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2024;XL;14;13;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2024;XS;42;41;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2024;XXS;39;22;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2025;L;2;2;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2025;M;16;16;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2025;S;25;25;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2025;XL;8;7;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2025;XS;20;20;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Berlin;2025;XXS;34;24;42,00;12,50;2,36
093KT7ZK38;Cream T-Shirt;Womenswear;T-shirt;Brussels;2018;L;5;5;42,00;12,50;2,36
